Ligne,Traduction,Espaces placés au début,Révision 2022 (pour référence)
9960,"「Aoko, tu me le cachais, n'est-ce pas ?」",,「青子。貴女、隠していたわね」
9963,Les deux filles s'observèrent comme pour jauger les mouvements de<r>l'adversaire.,,
9966,「Je n'ai pas dit que je te prendrai tout...... Voyons. Que dis-tu de garder 30 % ?」,,「なにも全て奪うとは言っていないわ。……そうね。貴女にも三割ぐらいは回すつもり」
9981,"「...... D'accord. Mais c'est nul. Si j'avais su, j'aurais appris quelques notions d'Alchimie. Comme ça, je n'aurais pas eu à éprouver ça.」",,「……いいけど。あーあ、情けない。こんな事なら錬金術でもかじっておくんだった。そうすれば、こんな思いをしなくてもすんだのに」
9982,「Je n'en suis pas si sûre. Il paraît que les Alchimistes rencontrent des difficultés depuis que la bulle financière a éclaté.」,,「そうでもないわ。彼ら、バブルが弾けて大変だって話よ」
9989,"「...... Non, mais je suis responsable de ne pas l'avoir repéré dans la Barrière, lors de la nuit au parc.",,「……認めてはいないけど、公園での夜、彼を結界で捕捉しなかった責任があるから。
9992,Aoko leva les yeux au ciel comme pour se rappeler la nuit au parc<r>d'attractions.,,
10043,"...... Ses colocataires étaient déjà suffisamment féroces, mais par-dessus tout, une intensification de la violence ne lui apporterait rien de bien. Si ça arrivait, de mauvaises rumeurs pourraient se propager à<r>l'école.",,
10092,「Je vois. On a tous les deux du temps à perdre.」,,「なるほど。時間を持て余しているところも同じだね」
10106,"「Non, ce n'est pas vraiment un ennui ou quoi que ce soit de ce genre. J'ai juste rencontré quelque chose d'étrange, ou plutôt, quelque chose de<r>rare......」",,
10112,"「Heurté par un oiseau ? Vraiment, c'est rien du tout.",,
10137,"Par contre, tu as vraiment déménagé sur cette montagne ? C'est vrai que j'ai entendu dire que tu avais quitté ton appartement...... Mais ça doit être dur de se rendre à l'école. Pourquoi loger dans un endroit aussi loin de tout ?」",,
10161,"Le nombre d'insectes et les surfaces boisées ayant ainsi diminué, ils se voient contraints de se réfugier sur les hauteurs. Chassés de leur lieu de naissance, ils ont migré de la forêt vers la montagne.",,
10163,「...... Ça suffit pour réduire autant leur nombre ?,,「……そんな事ぐらいで減るものか？
10216,"L'immigration depuis l'Europe de l'Ouest ne cessait de s'intensifier, et en 1870, la population des États-Unis avait dépassé les quarante millions<r>d'habitants. Le pigeon migrateur était la proie parfaite pour remplir l'estomac et le portefeuille de ces immigrés.」",,
10217,"「Et le plus horrible dans tout ça, c'est toute l'ingéniosité dont les humains firent preuve.",,
10218,"Ils employèrent tous les moyens possibles et imaginables pour faire la course à la chasse des pigeons migrateurs, toujours plus vite, en plus grand nombre et plus efficacement.",,
10219,"Ils utilisaient comme leurre des pigeons dont ils avaient crevé les yeux, afin d'attirer de grands groupes d'oiseaux. Grâce à ça, certains chasseurs abattaient plus de dix mille oiseaux en un jour. Mais malgré l'évidence, ils ne songèrent même pas à remettre en doute la chasse à outrance.",,
10261,"Entendant ce marmonnement, Kumari haussa les sourcils avec<r>perplexité.",,
10281,Elle se gratta la tête tout en maugréant comme s'il était question<r>d'elle-même.,,
10283,"Si son histoire avait été si passionnée, c'était parce qu'elle avait la mauvaise habitude de faire des recherches assidues sur les choses qu'elle détestait.",,
10305,Elle avait pour ambition d'économiser suffisamment pour s'inscrire à<r>l'université.,,
10336,,1,
10407,"『Att... Attendsーーー! On arrive au meilleur moment, alors pourquoi tu t'barres ? Tu te prends pour Scarlett O'Hara ? Tu joues l'héroïne tourmentée ?",,
10408,"J'peux pas accepter ça ! Pourquoi un nouveau venu devrait, à peine arrivé, monopoliser l'attention de Mam'zelle Alice ? Je peux pas laisser passer ça ! Explique-moi ce mystère ! Et ne mens pas. Quand je suis sérieux, rien ne va plus !』",,そのあたりジブン、なんか納得いかないッス。まだうちに入ったばかりの新参ものが、なんでアリスさんの視線をひとりじめしてるっスか？　許せないスけど、その秘訣を教えてほしいっス。切実に。ジブン、本気だしたら凄いッスよ』
10425,Et ça fait mal ! C'est comme si tout mon sang s'écoulait par le coin droit de mon bec !』,,そして痛い、体中の血液がくちばしからこう、右方向に流れていく感覚とかー！』
10438,"Cet établissement moderne était comme pétrifié dans sa fonction, même si les élèves, qui constituaient sa chair et son sang, manquaient à<r>l'appel.",,
10479,,0,
10487,Et ce qu'elle tenait dans la main n'était pas un balai en bambou mais un râteau.,,
10490,"「Hyaa ! Cette manière de parler, ne serait-ce pas un certain Tsukiji───!」",,「ひゃあ！　その物言い、槻司某―――！」
10496,"Même s'il n'en paraissait rien, ce duo s'entendait bien dans l'enceinte de l'école.",,
10510,"「Oh ! Quoi, alors c'est à propos de la pause ! Tu sais ce qu'il faut dire pour faire plaisir aux gens, Ton Altesse !」",,「お、なんだブレイクかよ！　話せるじゃん、殿下！」
10516,"S'il ajoutait quelque chose dans le dossier de Kinomi, celui-ci devrait prendre part à l'équipe de nettoyage du lendemain et celle du<r>surlendemain.",,
10526,,0,
10570,,0,
10582,"「Ils viennent de l'étranger. L'amour pour la Grande-Bretagne de leur précédent P.-D.G. leur a porté malheur, et à une époque, ils ont bien failli couler. Mais il y a cinq ans, il a fait déménager leur siège social pour remettre le groupe à flot.",,「ホームグラウンドは国外で、先代の会長の英国びいきがたたって一時期は沈みかけてたんだが、五年くらい前かね。本拠地をこっちに移してからはご存じの通りだ。
10680,"「Mais non. Rebroussons chemin pour finir le balayage, Tobimaru.」",,「無いよ。戻って掃除の続きをするぞ、鳶丸」
10717,"Il ne s'était écoulé que deux jours à peine depuis la fin des examens semestriels ; néanmoins, il semblait déjà s'être habitué à rentrer seul par cette forêt.",,
10742,"「Alors, le Pivot de Toukawa ? Comme il est blanc, il devrait avoir du mal à s'en emparer, hein ?」",,
10744,"Il devrait trouver assez vite la position des Pivots restants, à présent.」",,残りの割り出しは今までより早くなる」
10752,"Mais alors, pourquoi la Barrière n'a repéré aucune anomalie ? Ça fait pourtant près de cent ans que le filet de recherche ennemi des environs de Misaki n'a pas été pris en défaut.」",,
10791,"et leur devoir premier, temporairement suspendu par l'affaire Sōjūrō : les mesures à adopter face au pilleur venu dérober les terres administrées ; en d'autres termes, son élimination.",,
10797,"Pour résumer grossièrement, Aoko et Alice disposaient de deux Barrières de protection.",,
10811,"Si tous les Pivots sont détruits, nous serons finalement assiégées au manoir......",,支点がすべて潰されたら、いよいよ洋館での籠城になるけど……
10812,"Ça te convient vraiment, Aoko ?」",0,いいの、青子？」
10836,"Au fait Alice, pour effacer un pentagramme de feu, c'est bien comme<r>ça ?」",,
10846,"Tu sais, celui que tu m'as enseigné, le charme qui dit : <Poids de l'air,|Légèrement, faiblement,><r><tremblement de la poitrine.|habilement, rapidement.> <La lumière en premier,|Tic tac tic tac,> <l'ombre en second.|dépêche-toi, dépêche-toi.>」",,
10860,"Avec l'esprit vide, comme lorsqu'on sursaute face à un diable à ressort,",,
10901,"Vous n'avez pas beaucoup dormi après ça, pas vrai ?」",,あれから満足に寝てないだろ、ふたりとも」
10944,"Depuis l'année précédente, les supérettes ouvertes 24 h/24 apparaissaient peu à peu, mais la bonne vieille ambiance du début des années 80 restait prononcée dans le vieux quartier de Misaki.",,
11061,"la personne ayant reçu ce collier, Sōjūrō, le regardait plutôt<r>sérieusement.",,
11086,"「Voilà. C'est la bonne façon de l'attacher, Aozaki ?」",,「よし。留め方はこれでいいのか」
11095,「Tai-,,
11096,Tais-toi ! Ce n'est pas ça !,0,
11113,"Sōjūrō croyait qu'Aoko l'avait grondé, mais elle n'avait fait que<r>s'autodétruire.",,
11220,"Il n'avait pas fait attention à Alice, mais ce n'était pas comme s'il l'avait ignorée.",,
11254,"Sōjūrō s'inclina légèrement, puis prit les baguettes à la main.",,草十郎は小さくおじぎをしてから箸を手にとった。
11279,"Imperturbable face au visage de Sōjūrō, Alice continua sur un ton indifférent.",,
11285,"Elle dit parfois des trucs dans le genre, mais j'avais l'impression que ça sonnait faux...... Et donc, j'ai pensé qu'elle n'avait encore jamais commis de meurtre.",,たまにその手の台詞を言うけど、何か違う気がしたんだ。……だからたぶん、蒼崎はまだ人殺しというのを体験していないんじゃないかって。
11298,"...... Oui. Si l'envie lui en prend, Aoko peut porter atteinte à la vie de n'importe qui sans hésitation. Pour le dire à ta façon.」",,……そうね。青子はその気になれば、迷う事なく他人の命に手をだせる。静希君ふうに言うのなら、だけど」
11357,"Elle lança un regard en direction de la porte du couloir, et reprit une autre bouchée après s'être assurée que personne n'était sur le point d'entrer à l'improviste.",,
11391,「Qu...! Voilà que la présidente du conseil étudiant fait du travail<r>d'appoint !,,
11411,"Et puis, j'aime pas particulièrement les beaux gosses. Pour moi, un homme, un vrai, doit être dans le genre de Schwarzy.」",,顔の良い男は好きじゃないし。やっぱり男はシュワちゃんぐらいじゃないと」
11422,"Tiens, que dirais-tu d'inviter Yamase et les autres de la classe B ? Si je me souviens bien, aux vacances de Noël de l'année dernière, elles étaient montées à Tokyo, non ?」",,
11435,「Pas vraiment. C'est juste qu'il y a de plus en plus de films que j'ai envie de voir. Et ils ne passent pas dans le coin. Et toi ?」,,「別に。見たい映画がたまってるだけ。三咲じゃ上映しない映画をハシゴしたい。蒼崎は？」
11449,"「Kuma, quand j'en aurai fini, viens avec moi au restaurant de ramens de devant la gare.",,「クマ、終わったら駅前のラーメン屋付き合ってよ。
11479,,0,
11482,,2,
11485,"「Désolé, grâce à toi, je me suis trouvé une copine ! Sa phrase fétiche, c'est ""je te préfère à Kinomi"" ",,「ごめん、木乃美のおかげで僕にも彼女ができました！　彼女の口癖は“木乃美クンよりマシよ
11486,Tu sais tout !」,1,”です！」
11502,"「Ouais, la cérémonie d'entrée ! J'ai vu cette fille canon, alors je suis allé la saluer par réflexe !",,「おう、入学式な！　すげー身体してる女子がいたからさあ、つい声をかけたんだよな！」
11504,Mais je n'aurais jamais cru que ma main irait aussi loin.,,いや、でもまさか、手が出るとは思わなかった。
11545,,1,
11573,"Sōjūrō. En premier lieu, est-ce que tu connais le sens du mot draguer ?」",,
11604,,0,
11607,"Le Early au réveil, le Breakfast au petit déjeuner, le Elevenses le matin, le Midi Tea Break l'après-midi, l'Afternoon de l'après-midi dans la haute société, le High Tea des soirées mondaines, et l'After Tea après le dîner.",,寝起きのアーリー、朝食のブレックファースト、午前のイレブンジズ、午後のミィディティーブレイク、午後の社交界アフタヌーン、夜会のハイティー、ディナー後のアフターディナー。
11644,"「Ha ha ha. À cause de ça, l'année dernière, on a fini par faire le tour des magasins d'antiquités.」",,「あはは。気が付いたら骨董品回りしてたものね、去年の私たち」
11661,"Survoler un peu le sujet ne devrait pas nous attirer tes foudres, Alice ?」",,
11666,,0,
11684,"Tout ce qu'il trouve à dire sur nos Magies, c'est que c'est “très<r>pratique” ! Si les autres Mages l'entendaient, ils en défailliraient<r>d'humiliation.」",,
11739,,1,
11743,On dit bien que les aristos du Moyen Âge avaient des Alchimistes attitrés qui cherchaient sans relâche un moyen de fabriquer de l'or.」,,ほら、中世の貴族はお抱えの錬金術師で、日夜金を作り出す研究をしてたっていうじゃない!?」
11748,"「...... Aaah. En fin de compte, on ne peut pas leur faire confiance. On prétend que maintenant, les Alchimistes de Prague sont des Mages de la finance, et que ceux d'Égypte fabriquent des armes......」",,「……はあ。錬金術師ほどアテにならない奴はいないってワケか。今じゃプラハの錬金術師は証券魔術師、エジプトの方は兵器作ってるって話だしね……」
11750,"「Les familles huppées de Londres ne mélangent pas préceptes familiaux et affaires, elles préfèrent prendre des disciples spécialisés dans la finance.",,「ロンドンの名門になると、家訓と事業は別物と割り切っていて、金融専門の弟子をとっているわ。
11751,"...... Selon une rumeur, le dirigeant d'un certain conglomérat industriel sucerait le sang de tous ses employés, créant ainsi un réseau au partage d'informations parfait.",,……噂だけど、ある財閥の総帥は社員全員の血を吸って、情報を共有するネットワークを作っているとか。
11807,"「Hors de question. Pour mener une vie honnête, il nous faut comprendre nos rôles. En inscrivant tout sur le tableau, on n'oubliera rien, vous comprenez ?」",,
11816,「...... C'est comme si notre chien domestique venait de nous mordre. Il est drôlement impertinent.」,,「……こういうのを、飼い犬に手を噛まれる、というのかしら。わりと小癪な性格をしていたのね、彼」
11856,"『Et Hutchy le petit prince orphelin, c'est un anime.",,『みつばちマッチはアニメっすね。
11859,"À l'origine, Asics était une société née de la fusion de trois entreprises. Et si on prend les trois présidents ensemble, ça donne six jambes, pas vrai ? C'est pour ça que c'est <Ashi|jambe>, six.」",,アシックスって、もともと三つの会社が合併して出来た会社なのよ。で、三社の社長があつまると足が六本になるじゃない？　だから足、シックス　あくまで俗説だけどね」
11904,Même un seul mot gentil semble avoir une grande importance pour<r>l'interlocuteur. Cela procure un bonheur inattendu.」,,
11934,"Cela ne l'enchantait guère, mais Aoko était plutôt d'accord avec le rouge-gorge.",,
11936,"“Si nous désirons trouver le bonheur, arrêtons de nous soucier de la gratitude ou de l'ingratitude et donnons, simplement pour le plaisir de donner.”",,“幸せになりたければ、誰が恩を返した、誰が恩を返さないなどと考えるのはやめて、人に貢献できる喜びを大切にしよう”
11937,dont voici la citation exacte.,,
11942,"C'étaient cette fois les propos d'un <homme d'affaires|Andrew Carnegie> encore plus<r>célèbre,",,
11943,"“Les gens riches devraient utiliser leur fortune pour enrichir la société, au lieu de gaspiller leur argent.”",,“富める者は、その富を社会の改善のために使うべきである”
11944,dont voici la citation exacte.,,
11961,"Je vais préparer le dîner, alors―――",1,
11962,,0,
11995,Ce geste montrait qu'il ne reculerait pas devant l'attitude menaçante<r>d'Aoko.,,
12000,"Après la succession d'expressions taboues telles que “nouveau<r>travail”, “la paye est bonne, tout le monde peut le faire” et “mais je refuse de dire en quoi il consiste”, il lui était impossible de rester calme.",,Pour forcer le retour à la ligne
12007,"Il sera ardu de lui soutirer la moindre information, conclut Aoko en<r>renonçant.",,
12053,「―――Tch. C'est vrai...」,,「―――チッ。そうか」
12081,"Les deux partis s'étaient unis pour le profit, mais la famille Tsukiji avait fait une erreur de calcul : les compétences de management de l'homme qu'elle avait accueilli en son sein avec réticence pour un temps n'avaient rien d'ordinaire.",,
12097,"Il avait pu préserver sa dignité un minimum du fait qu'il était l'enfant d'Hitoyoshi, le fils aîné de Kimekuni. Cela dit, il était aisé d'imaginer quel genre de persécutions avait subies Tobimaru dans sa position délicate, de la part de ses parents et de ses frères et sœurs.",,長男である一義の子という事で最低限の威厳は守られたが、立場の弱い鳶丸が親戚、兄姉たちにどんな迫害を受けたかは想像に難くない。
12137,"Effrayés par cette perspective, ils ne pouvaient apparemment plus ignorer Tobimaru.",,
12187,「Tiens donc ? Mais qui vois-je là ? Si ce n'est pas le sale gamin de<r>l'Engoulevent.,,
12207,,0,
12213,"Il possède des antiquités indignes de son rang. Aoko et moi, nous nous chargeons donc de les lui subtiliser au compte-gouttes.」",,分不相応にいいアンティークを持っているから、青子と二人で少しずつとりあげているの」
12254,"Tôt ou tard, les communications portables évolueront à un rythme<r>effréné.",,
12261,"「Il serait temps que mon père réalise qu'il se fout de lui. C'est à moi qu'il préfère faire les yeux doux, ce salaud de Yankee.",,「親父も舐められてるって気付けよな。親父より先に俺に色目使いやがってクソヤンキーが。
12273,Le coup de fil venait d'Aozaki Aoko qui lui annonçait une situation<r>urgente.,,
12319,"「Oui, il roule sur l'or comme s'il vendait son corps, genre : “combien pour la nuit” ?」",,「ああ、体でも売ってるとしか思えない羽振りの良さだ。一晩いくら、みたいな」
12334,,0,
12377,Elle ne lui avait pas parlé avec autant d'amabilité depuis la cérémonie<r>d'entrée. Cela suffit à Kinomi pour réaliser que son heure avait sonné.,,
12410,"Cet employeur recherchait “un jeune homme honnête et au cœur tendre” ; Kinomi avait donc dû abandonner sa candidature avec regret, et avait envoyé à sa place un ami correspondant au profil<r>recherché―――",,Pour forcer le retour à la ligne
12475,"「Si. S'il faisait réellement partie des gens escroqués, il ne ferait que perdre de l'argent.",,
12481,,1,
12498,"「Je sais. D'abord, il faut enquêter sur le parcours de la société, l'identité du patron et le nombre de salariés tout en cherchant les victimes,",,
12499,<r>et―――」,0,"Espace obligatoire, en jeu cette phrase est directement collée à la précédente"
12502,,0,
12518,,0,
12522,"Et en plus, avec vingt personnes ? Qu'est-ce que t'as l'intention de faire au juste ?!」",,
12526,,1,
12541,"Un contrat est absolu. Ça m'énerve, mais on ne peut pas s'opposer à ce qui a été couché sur papier. À présent, on ne peut que limiter le nombre de victimes. Annuler les prêts, mettre fin aux admissions,<r>et―――」",,Pour forcer le retour à la ligne
12551,,0,
12592,"「Merci. Je te reconnais bien là, Kumari. Une fois lancée, tu travailles vraiment vite et bien.」",,
12593,"Kumari Kojika, secrétaire du conseil étudiant, remit la liste des victimes à Aoko qui s'empressa d'appeler le bipeur de Tobimaru.",,生徒会書記・久万梨金鹿から被害者のリストを受け取って、すぐさま鳶丸の小型無線機に連絡をいれる。
12604,「Les caractéristiques que tu m'as indiquées étaient plutôt faciles à comprendre.,,
12609,"Dis donc, c'est quoi ce sourire sinistre ?」",,
12623,「Aozaki ? Tu ne contactes pas Tsukiji pour lui dire que le plan a<r>changé ?」,,
12771,「Non. Elle m'a dit qu'elle ne payait pas les aides-soignants car elle ne peut pas leur faire confiance. Cette vieille dame ne peut croire qu'en<r>l'argent.」,,
12831,"「C'est comme une intervention chirurgicale dantesque pratiquée par le quotidien. Et en dépit de cela, la ville fonctionne bien. Ça force vraiment<r>l'admiration.",,Pour forcer le retour à la ligne
12869,"「Non, c'est vrai. C'est ça, en fait.」",,「いや、そんなもんか、実際」
12880,"「...... Eh bien, je pense que je vais sagement rentrer chez moi.",,「……俺も大人しく家に帰るとするか。
12903,"si malgré tout, elle se sent satisfaite et décide de te confier le reste de l'argent,",,
12930,,0,
12938,"De l'avis de Sōjūrō, la réplique d'Alice contenait également son lot<r>d'incongruités.",,Pour forcer le retour à la ligne
12954,Puis Sōjūrō retira son manteau avant de parler de son travail<r>d'aide-ménager.,,
12971,"「Que―――Pas, pas, pas, pas possible ! Tu as déjà envoyé la<r>commande ?!」",,
12976,Sōjūrō fut frappé pour la seconde fois de la journée par un éclair<r>d'illumination.,,
12989,"C'est bon, c'est moi qui paierai. Aujourd'hui, j'ai eu des revenus imprévus, alors soyons fous et dépensons-les.」",,いいわよ、私が出してあげる。今日は臨時収入があったから、パァーッと派手に使いましょう」
12999,"「...... Aaah. Le proverbe dit bien “Bien mal acquis ne profite jamais”, et c'est parfaitement juste. Ma petite rémunération va partir en fumée...」",,「……あーあ。悪銭身に付かずって言うけど、ホントその通り。臨時収入は泡と消えた、か」
13008,"Au moment où une pichenette l'envoya valser, on frappa à la porte<r>d'entrée.",,
13052,,0,
13070,"「Au lieu de nous focaliser sur le passé, concentrons-nous plutôt sur le présent !",,
13177,"「En fait, j'ai reçu ma paye aujourd'hui.",,「実は今日、給料日だったんだ。
13269,「Sōjūrō. Tu te rappelles de ce qu'a dit Kinomi ?」,,「木乃美くんがなんて言ったか、覚えてる？」
13280,"Euh...... Voyons, pour faire un parallèle, c'est comme un cahier de cours.",,えーと……そうね、喩えるなら授業のノート。
13328,「De grands artistes viendront au Japon dès l'été prochain......,,「来年夏にはビッグアーティストも来日予定……
13329,Pinktrude en fait partie ?!,1,って、ピンクトゥルーデが入ってない！？
13360,,2,
13448,"Comme elles savaient qu'elles se trouvaient au dernier étage de l'immeuble, même Aoko fut étonnée en découvrant la structure en deux couches de l'aquarium.",,
13519,Ces trois heures passées à observer les crocodiles l'avaient peut-être influencé : on aurait pu croire qu'il se demandait sincèrement l'effet que cela faisait de passer toute la journée allongé.,,
13564,“Tiens donc ?” fit la femme d'un air surpris en apprenant l'absence<r>d'Aoko.,,
13572,"Elle devait être dans le début de la vingtaine, mais elle ne lui semblait pas beaucoup plus vieille que lui.",,歳の頃は二十代前半だろうけれど、そう草十郎と歳が離れている気がしない。
13580,"Pour le moment, je garde la maison, mais en fait, je suis un ami d'Aozaki.」",,とりあえず、今は留守番してますけど、実は蒼崎の友人なんです」
13608,"...... Chose quelque peu embarrassante, la vidéo d'Animal Land passait toujours à l'écran.",,
13732,"「...... Ce n'est rien. Aoko, avais-tu remarqué que nous étions les seules à être descendues à cette gare ?」",,「……どうもなにも。この駅で降りたのは貴女とわたしだけなの、気付いていた？」
13748,"「...... Oui. Cependant, vu leur qualité, on ne trouverait sûrement pas<r>d'acheteur.」",,
13780,,1,
13828,,1,
13837,,1,
13881,"「C'est une nouvelle sorte de chaîne ? Mais d'après ce que je peux voir,<r>c'est...」",,
13891,"“Je vois”, murmura Tōko d'un air satisfait en entendant sa réponse<r>directe.",,
13934,"En premier lieu, tant que nous serons influencés par notre égoïsme, même les informations que nous recevons de nos cinq sens resteront subjectives. Le monde entier est dans le brouillard. Et puis, j'ai tendance à ne pas croire ce qui est seulement visuel.」",,そもそも我欲があるかぎり、五感による情報にすら主観が入る。全てこの世は霧の中だ。もともと目に見えるだけのものは信じていない質でね」
13956,"Durant cette heure de discussion, elle avait appris à connaître le garçon appelé Shizuki Sōjūrō mieux encore qu'il ne se connaissait<r>lui-même.",,
13966,"“Je te jure”, grommela Tōko en regardant le plafond avant de se<r>relever.",,
13985,Il ressentit une étrange sensation de flottement et son cerveau<r>s'engourdit.,,
14005,,1,
14021,"Aaah, qu'est-ce que je suis disgracieuse. Qu'est-ce que je suis<r>pito―――」",,
14106,,0,
14111,「───Je ne le dirai pas deux fois.,,「―――二度は言わないわ。
14113,"Bien que dissimulées, d'intenses émotions brillaient dans les yeux d'Alice.",,有珠の目には、潜めた、けれど激情が灯っている。
14115,「...... Pardon. Je savais pourtant que cet endroit t'est cher.」,,「……すまない。有珠にとってここが大事な場所なのは、分かってたのに」
14175,"Aaah, en le simplifiant de manière à ce que tu puisses comprendre...... Bah, considère ça comme le soleil.",0,あー、草十郎の分かるレベルに落としこむと……ま、太陽みたいなものと考えて。
14188,"Mais ça n'a que des limites, c'est bien ça ?」",,
14189,"「Des limites ou plutôt, c'est une sorte d'exception ou de privilège, voire<r>d'abus.",,
14194,tandis qu'Alice ressentait une irrésistible envie de corriger les propos<r>d'Aoko.,,
14210,"Après tout, le but final des Mages, c'est d'atteindre le Tourbillon de la Source, et non pas d'obtenir la Vraie Magie.",,だって、魔術師にとって最終目的は根源の渦への到達であって魔法じゃないし。
14231,C'est pour ça que les lignées de Mages se marient entre elles et accumulent le prana des générations précédentes pour le transmettre à la suivante. Tout ça afin de donner naissance à des successeurs qui les surpassent.」,,だから魔術師は血脈を重ねて、代々の魔力を次代に積み重ねていく。自分より勝れた後継者を生むために」
14318,,2,
14348,"「Ben, comme je viens de le dire, elle a un sale passe-temps qui consiste à voler ce qui m'appartient et à le détruire. En quatorze ans d'efforts, pas une seule chose sur laquelle elle a jeté son dévolu ne s'en est sortie indemne.」",,「だから、あの人って私の持ち物を横取りしてはぶっ壊すのが趣味なのよ。苦節十四年、姉貴に目をつけられて無事だった物なんてひとつも無いもの」
14362,Alice se taisait comme pour manifester son adhésion au commentaire<r>d'Aoko.,,
14405,"tandis qu'Alice était plongée dans un livre traitant des sorts de Runes et levait la tête de temps à autre, comme si quelque chose lui revenait à<r>l'esprit.",,
14412,"「―――,",,「―――、
14413,ahem.」,1,ぽこ」
14421,"C'était le travail d'un homme de fer, sans erreur ni relâche.",,あまりにも迷いのない、鉄人の作業だった。
14449,"「Et une fois que tu auras fini tout ça, tu pourras aussi venir dans ma chambre ?",,
14493,"Alors qu'Aoko affichait un sourire jovial, le visage de Sōjūrō<r>s'assombrissait.",,
14540,"Aoko et Alice passaient de plus en plus de temps enfermées dans leur chambre, et le nombre de conversations lors des repas diminuait à vue<r>d'œil.",,
14561,Cependant...,,
14578,Les cheveux et les yeux humains ont toujours constitué de bons matériaux en Magie. Tout particulièrement dans le cas des femmes.,,昔っから人間の髪や目は魔術の材料になりやすいの。女の場合は殊更にね。
14595,"Sur cette dernière phrase, un sourire mesquin se dessina sur les lèvres<r>d'Aoko.",,
14635,"Alors, si la Tōko que nous connaissons a préparé un familier comme arme secrète, il doit...」",,あの橙子さんが切札になる使い魔を用意したのなら、それは」
14745,"Il allait dire quelque chose, mais une pensée lui traversa soudainement<r>l'esprit.",,
14795,J'ai tout un tas de choses à te dire. J'aimerais aussi avoir de tes nouvelles. Et je meurs d'envie de t'expliquer pas mal de choses en ce qui concerne cette histoire.,,積もる話もある。君の近況にも興味がある。そもそも今回の件について、色々と説明したくてたまらない。
14811,"Ça va jusqu'à la forêt à côté, ce qui nous donne un ring d'environ<r>400 m².",,Pour forcer le retour à la ligne
14830,"De plus, la Rune utilisée était une technique inconnue non brevetée par<r>l'Association.",,Pour forcer le retour à la ligne
14891,Tōko avait donné un effet infini à cet Œil en le faisant se miroiter à<r>l'intérieur.,,
14935,,2,
14957,"『Wood and clay will wash away,』",,"『Wood and clay will wash away,』"
15036,Il s'agissait d'un spécimen d'une espèce éteinte qui vivait au temps de<r>l'Âge des Dieux.,,Retour à la ligne
15118,,0,
15253,"...... Et pourtant, à la toute dernière seconde, elle l'avait appelé au<r>secours,",,
15291,,1,
15301,La douleur de son abdomen et l'inconfort dû au Sceau Magique<r>l'assaillaient.,,
15378,"「J'y pouvais rien, non ? Il n'y avait plus de trains. J'aurais pu appeler un taxi, mais malheureusement, je n'avais pas d'argent sur moi.",,「仕方ないだろ。電車、終わってたんだから。タクシーを使えば良かったんだけど、あいにく持ち合わせがなくて。
15384,"「Pourquoi ? On pourrait utiliser certaines choses, mais on ne peut pas parce qu'on n'a pas l'argent. Ce n'est pas terriblement frustrant, ça ?」",,「使えるものがあるのにお金がないだけで使えないんだから、それって不便って言わないか？」
15401,"La partie gauche du manoir, située à l'ouest du vestibule, était sous sa juridiction.",,
15462,Elle avait un timbre bien plus pathétique que sa voix résistant à la<r>douleur.,,
15487,"「Attends, Alice ! Si tu veux les prévenir, pourquoi ne pas plutôt leur téléphoner ?」",,
15489,「Je l'ai déjà fait savoir aux gens de l'église.,,「教会の人になら、もう報せた。
15502,"「Tu seras plus en sûreté à l'église qu'ici. Et puis, moi aussi, je dois me dépêcher.",,
15503,"...... Shizuki, peux-tu pédaler avec deux personnes dessus ?」",0,
15508,「............,,「…………
15509,"Si tu ne peux pas, alors tant pis.」",,出来ないなら、いいわ」
15529,"「Allons-y, monte sur le porte-bagages arrière. Par contre, comme il<r>n'y a pas de selle, ça risque de faire mal. Si c'est pénible, dis-le-moi, je<r>m'arrêterai.」",,Retour à la ligne
15590,"「À votre guise. Je me rends à la commission médiatrice. Si l'administrateur change, je dois préparer les documents pour l'Église et<r>l'Association.",,Pour forcer le retour à la ligne
15647,「............,,「…………
15565,"et cette fois, la blessée grave ne pouvait pas être prise en charge par<r>l'hôpital.",,
15585,,2,
15589,"「Très bien, nous entrons. ...... Donnez-nous la permission qu'il<r>m'accompagne.」",,
15641,"「C'est incompréhensible. Ritsuka, vous n'êtes pas mariée, il me semble ?」",,
15648,Vraiment ?」,,本当？」
15650,,1,
15659,"「Je ne sais pas ce qu'il représente pour vous, mais c'est le compagnon<r>d'Aoko.",,Retour à la ligne
15660,"Avez-vous besoin d'autres détails, Ritsuka ?」",,その他に説明は要りますか」
15682,"Ritsuka poussa un soupir face à la méprise du garçon due à son inexpérience,",,
15711,,7,"2 espaces indentation + 4 espaces pour remplacer ""Aoko"" + 1. Peut-être remplacer par ____ ?"
15712,,7,"l'espace pour le nom d'Aoko, invisible. Peut-être remplacer par ____ ?"
15717,Yuika touchait      allongée.,,Ajout de 2 espaces pour Aoko
15725,Les morceaux de tissus entassés sur le sol évoquaient des roses<r>flétries.,,
15734,Son visage habituellement inexpressif semblait maintenant venir<r>d'outre-tombe.,,Pour forcer le retour à la ligne
15744,"À chaque seconde, les tout nouveaux bandages s'imbibaient un peu plus de vermillon.",,
15837,"Selon les principes de la Magie, le Mystère le plus fort l'emporte sur<r>l'autre.",,
