Ligne,Texte,Traduction
21515,爆発物を使う利点は……そうだな、起爆までのタイムラグを利用した時間操作と、遠隔操作があげられる。どちらも不在証明作りには有利だな」,"Quel intérêt aurait-on à utiliser des explosifs...... Quoiqu'avec des bombes télécommandées ou à retardement, on peut mettre à profit le délai avant l'explosion. Les deux types de bombes offrent de nombreuses manières de se créer un alibi.」"
21588,今の憶測に間違いはないと思うけど？」,"Ta supposition me semble plutôt juste, pourtant.」"
21759,「スキー跡！,「Spur !
21760,そのペンションの名前、スキー跡とか言わない有珠！？」,"Le nom de cette pension, ça serait pas Spur, Alice ?!」"
21783,二年以上ここから学校に通っていた蒼崎のタフさに、今更ながら感心するような、呆れるような。,"En pensant qu'Aozaki venait à l'école d'ici depuis deux ans, mon admiration ainsi que ma stupéfaction envers sa ténacité allaient encore en grandissant."
21953,『ハハハ、さすがリデルさん、感情のオンオフ激しいっスね！　ホントのアタシを見てー、とか、メルヘン全開で恥ずかしくないッスか？　恥ずかしくないんスよね。スゲー、やっぱリデルさん、魔術師よりアイドル向けッス！』,"『Hahaha, j'reconnais bien là notre Riddell. La soudaineté de tes éruptions émotionnelles est toujours aussi intense ! T'es pas embarrassée de dire des choses comme “regardez la vraie moi” ? Non, tu l'es pas, hein ? Trop fort ! Je l'savais ! Riddell, le métier de star te convient mieux que celui de Mage !』"
22176,その場合、顔があってはあの死体が土桔氏でない事は明白です。犯人はなんとしても顔を隠したい。しかし、だからといって顔を焼いては、その行為そのものが証拠になります」,"Dans ce cas, le visage prouverait que le corps n'est pas celui du vieil homme. Le coupable aurait voulu à tout prix cacher les traits du cadavre. Toutefois, brûler le visage jusqu'à le rendre méconnaissable donnerait un indice sur la falsification d'identité.」"
22267,「,「
22268,だ、,Qu...
22269,誰がっ、,Qui
22270,三下、,traites-tu de
22271,だっつーのっっっっ！」,menu fretiiin !」
22273,「,「
22274,舐めんじゃ、,Ne me sous-estimez...
22275,ないわよ！,pas !
22276,ぐっ、,Ggh
22277,心臓止まったぐらいで、,"Ce n'est pas un petit arrêt cardiaque,"
22278,うぐぅ、,gh
22279,死んで、,"uuh,"
22280,死んで,qui...
22281,たまるもん、,qui va
22282,かっ！」,me tuer !」
22387,「うーん。ほとんど屋敷にいたんだけど、パーティーの準備が忙しくてあまりみんなと話していないな。,"「Hum. J'étais dans le manoir la majeure partie du temps, mais comme j'étais occupé avec les préparatifs, je n'ai pas vraiment eu le temps de parler avec tout le monde."
22388,誰かさんと誰かさんが手伝ってくれないから。,Parce que deux personnes dont je tairai le nom ne m'ont pas aidé.
22414,「………………」,「..................」
22421,ただし、七時からは全員が集まっていたので、実際には四時から七時までの時間だろう。,"Cependant, comme tout le monde s'était rassemblé à partir de sept heures, l'horaire réel devait se situer quelque part entre quatre et six heures."
22452,んー、まあ、それはそれとして、プロイを知っている、って条件ならもう一人、とびきり不自然な娘もいるんだけど。それは誰かが指摘するでしょう」,"Hmm, enfin, passons. Il existe une autre personne qui remplit la condition consistant à connaître le Ploy, une fille dont la présence ici est peu naturelle. Vous voyez de qui je veux parler, n'est-ce pas ?」"
22970,「え!?　ダ、ダメだってば蒼崎、ひとりになんな―――！」,「Hein ?! N... Non Aozaki ! Ne t'isole pasーーー!」
22985,蒼崎はそのまま地面に倒れ、ぴくりとも動かない。,Aozaki s'écroula au sol et ne bougea plus d'un pouce.
23028,客室の配線は別系統だから、まだ電源が生きていればいいけど」,"Les chambres d'ami sont reliées à un circuit électrique auxiliaire, alors j'espère que l'électricité y marche encore.」"
23178,「ん？　久遠寺は信用できねえだろ。,「Hum ? On ne peut pas avoir confiance en Kuonji non plus.
23229,蒼崎の忠告を、山城先生はどこまで真剣に受けとめているのだろう。,Yamashiro n'avait visiblement pas pris l'avertissement d'Aozaki très au sérieux.
23247,「草十郎が声をかけたんでしょ。アイツ、今日はみんなを喜ばせる、とかはりきってたから。,「Sōjūrō a voulu qu'on l'invite. Il répétait qu'il ferait plaisir à tout le monde aujourd'hui.
23286,殺害可能時間は平等にあっても、そのセンスだけは限られる。この点で言えば、まあ、草十郎やらベオやら木乃美やらは除外される」,"On peut considérer que tout le monde est suspect au niveau de l'heure des meurtres, mais ce sens de l'humour se limite à un nombre restreint de personnes. Ma foi, on peut sûrement exclure Sōjūrō, Beo et Kinomi sur ce point-là.」"
23439,眠ったフリをして、わたしを安心させて、寝ずの番をしていてくれたのだ。,Il avait fait semblant de dormir pour me rassurer et était resté éveillé.
23593,「山城先生、徹夜明けですか？」,"「Monsieur Yamashiro, auriez-vous perdu la raison ?」"
23710,「アンタが,"「C'est toi le coupable,"
23711,犯人ね静希ーーーー！」,Shizukiーーーー!」
24016,それは何か、不吉な兆しなのでは、と思った。,Je songeai à une sorte de mauvais présage.
24017,鍵はいつも開けっ放しなのか、と思った。,Je songeai que laisser ouvert n'était pas très prudent.
24018,これならひとりでも入れるな、と思った。,Je songeai que j'aurais pu aisément venir seule.
24019,このまま居間に移動した方がいいと思った。,Je songeai qu'il valait mieux aller dans le salon.
24020,その前に客室の様子を見た方がいいと思った。,Je songeai que je devrais voir ma chambre.
24021,意味のない行動をしてみるのもいいと思った。,Je songeai que je pourrais me promener sans but particulier.
24022,何か不穏。洋館に戻るべきだと思った。,C'était sinistre. Je songeai qu'il valait mieux rentrer.
24023,気になる。確かめてみるべきだと思った。,Ça m'intriguait. Je songeai qu'il valait mieux vérifier.
24024,このまま雨脚は強くなるな、と思った。,Je songeai que l'averse risquait d'empirer.
24025,このまま雨は雹になるな、と思った。,Je songeai qu'il risquait de grêler.
24026,このまま帰ってしまおうか、と思った。,Je songeai qu'il vaudrait mieux rentrer chez moi.
24027,数はあっているな、と思った。,Je songeai que le compte était bon.
24028,数を間違えているな、と思った。,Je songeai que le compte n'était pas bon.
24029,……そういえば、まだ静希を見ていないな、と思った。,Je songeai que je n'avais pas encore vu Shizuki.
24030,これから陰惨な事件が始まるのだ、と思った。,Je songeai qu'une affaire lugubre venait de commencer.
24031,これからトンデモな事件が始まるのだ、と思った。,Je songeai qu'une affaire insensée venait de débuter.
24032,槻司と組めて良かった、と思った。,Je songeai avoir de la chance de faire équipe avec Tsukiji.
24033,大雑把に言うとパンだ、と思った。,"Je songeai qu'en gros, c'était du pain."
24034,現実的に小型爆薬だ、と思った。,"Réaliste, je songeai qu'il s'agissait d'une minibombe."
24035,犬か何かに食いちぎられたのでは、と思った。,Je songeai qu'il avait dû être dévoré par une sorte de chien.
24036,土桔由里彦氏の死がネックだ、と思った。,Je songeai qu'expliquer la mort de M. Tokitsu Yorihiko serait ardu.
24037,たしかに一晩笑わないのなんて簡単、と思った。,Je songeai que s'abstenir de rire une nuit serait aisé.
24038,……そろそろひとり足りない事を指摘すべきだろうか、と思った。,Je songeai à faire remarquer qu'une personne manquait à l'appel.
24039,槻司の話はおかしい、と思った。,Je songeai que le témoignage de Tsukiji était étrange.
24040,蒼崎の話はおかしい、と思った。,Je songeai que le témoignage d'Aozaki était étrange.
24041,ベオの話はむかつく、と思った。,Je songeai que le témoignage de Beo était irritant.
24042,槻司と蒼崎の話はおかしい、と思った。,Je songeai que les témoignages de Tsukiji et Aozaki étaient étranges.
24043,槻司とベオの話はおかしい、と思った。,Je songeai que les témoignages de Tsukiji et Beo étaient étranges.
24044,蒼崎とベオの話はおかしい、と思った。,Je songeai que les témoignages d'Aozaki et Beo étaient étranges.
24045,静希の話はおかしい、と思った。,Je songeai que le témoignage de Shizuki était étrange.
24046,久遠寺さんの話はおかしい、と思った。,Je songeai que le témoignage de Kuonji était étrange.
24047,わたしの話は合っているだろうか、と不安に思った。,Je me demandai avec inquiétude si mon histoire concordait.
24048,静希と久遠寺さんの話はおかしい、と思った。,Je songeai que les témoignages de Shizuki et Kuonji étaient étranges.
24049,静希とわたしの話はおかしい、と思った。,Je songeai que le témoignage de Shizuki et le mien étaient étranges.
24050,久遠寺さんとわたしの話はおかしい、と思った。,Je songeai que le témoignage de Kuonji et le mien étaient étranges.
24051,詠梨神父の話はおかしい、と思った。,Je songeai que le témoignage de père Eiri était étrange.
24052,シスターの話はおかしい、と思った。,Je songeai que le témoignage de la sœur était étrange.
24053,律架さんの話はおかしい、と思った。,Je songeai que le témoignage de Ritsuka était étrange.
24054,それぞれ客室で朝まで過ごすべきでは、と思った。,Je songeai que nous devrions attendre jusqu'au matin dans nos chambres.
24055,その前に、リデルのアリバイ検証もするべきだ、と思った。,Je songeai que nous devrions écouter le témoignage de Riddell.
24056,ちらっと廊下を盗み見たい、と思った。,Je décidai de jeter un petit coup d'œil dans le couloir.
24057,そっとしておこう、と思った。,Je décidai de la laisser tranquille.
24058,その意見に賛成するべきだ、と思った。,Je songeai qu'il fallait se ranger à cet avis.
24059,それは危険だ、と思った。,Je songeai que cette idée était dangereuse.
24060,十三人目の存在がいるからだ、と思った。,Je songeai qu'il y avait une treizième personne.
24061,電話線がなくなっていた時の、あの違和感について追求するべきだからだ、と思った。,Je songeai qu'il fallait parler de cet étrange sentiment ressenti en découvrant que le fil du téléphone avait disparu.
24062,……蒼崎をひとりにするのは危険だ、と思った。,Je songeai qu'il était dangereux de laisser Aoko seule.
24063,……ここで三人の帰りを待つべきだ、と思った。,Je songeai qu'il était préférable d'attendre le retour du trio ici.
24064,すごい死亡フラグだ、と思った。,Je songeai que c'était un signe de sa mort imminente.
24065,そういえばあの人も……、と思った。,Je songeai que cette personne aussi avait...
24066,あとは安心して眠れる、と思った。,Je pensais enfin pouvoir dormir sur mes deux oreilles.
24067,……本当にそうだろうか？　と思った。,Je pensais que ce ne serait peut-être pas le cas.
24068,１４時～１６時の間？　と思った。,Je me dis que ça devait être entre 14 et 16 heures.
24069,１６時～１８時の間？　と思った。,Je me dis que ça devait être entre 16 et 18 heures.
24070,１８時～２０時の間？　と思った。,Je me dis que ça devait être entre 18 et 20 heures.
24071,２０時～２２時の間？　と思った。,Je me dis que ça devait être entre 20 et 22 heures.
24072,２２時～０時の間？　と思った。,Je me dis que ça devait être entre 22 heures et minuit.
24073,か、鍵をかければ安全だし、そんなことされたら逆に眠れない！　と思った。,"Je... Je songeai qu'il suffirait de fermer à clef, net que de toute façon, j'aurais du mal à dormir si j'acceptais."
24074,そ、そういうコトなら、仕方がない、と思った。,"Je... Je songeai qu'au regard de la situation, c'était inévitable."
24075,朝まで逃げるべきだ、と思った。,Je songeai qu'il valait mieux fuir jusqu'au matin.
24076,犯人を推理すべきだ、と思った。,Je songeai qu'il fallait identifier le coupable.
24077,蒼崎 青子,Aoko Aozaki
24078,久遠寺 有珠,Alice Kuonji
24079,静希 草十郎,Sōjūrō Shizuki
24080,蒼崎 橙子,Tōko Aozaki
24081,槻司 鳶丸,Tobimaru Tsukiji
24082,次へ,Suivant
24083,木乃美 芳助,Hōsuke Kinomi
24084,久万梨 金鹿,Kojika Kumari
24085,ルゥ・ベオウルフ,Lugh Beowulf
24086,文柄 詠梨,Eiri Fumidsuka
24087,周瀬 律架,Ritsuka Suse
24088,次へ,Suivant
24089,周瀬 唯架,Yuika Suse
24090,山城 和樹,Kazuki Yamashiro
24091,土桔 由里彦,Yurihiko Tokitsu
24092,メイ・リデル・アーシェロット,May Riddell Archelot
24093,戻る,Retour
24094,久遠寺さんは本当に潔癖か？と思った。,Je me demandai si Kuonji était vraiment innocente.
24095,土桔氏はどうして誕生会を？と思った。,Je me demandai pourquoi M. Tokitsu avait organisé une fête d'anniversaire.
24096,殺人は二種類に分けられる？と思った。,Je me dis qu'il y avait deux sortes de coupables.
24097,律架さんのピッキング……！と思った。,Je songeai au crochetage de Ritsuka.
24098,名は体を表す、と思った。,Je me dis que son nom trahissait sa véritable nature.
24099,魔力とやらを持っているのは誰だ、と思った。,Qui possédait ce fameux “prana” ?
24100,プロイとやらを起動できたのは誰だ、と思った。,Qui avait pu activer le Ploy ?
24101,常にみんなに見られていたのは誰だ、と思った。,Qui était resté à la vue de tout le monde en permanence ?
24102,蒼崎 青子,Aoko Aozaki
24103,久遠寺 有珠,Alice Kuonji
24104,静希 草十郎,Sōjūrō Shizuki
24105,蒼崎 橙子,Tōko Aozaki
24106,槻司 鳶丸,Tobimaru Tsukiji
24107,次へ,Suivant
24108,木乃美 芳助,Hōsuke Kinomi
24109,久万梨 金鹿,Kojika Kumari
24110,ルゥ・ベオウルフ,Lugh Beowulf
24111,文柄 詠梨,Eiri Fumidsuka
24112,周瀬 律架,Ritsuka Suse
24113,次へ,Suivant
24114,周瀬 唯架,Yuika Suse
24115,山城 和樹,Kazuki Yamashiro
24116,土桔 由里彦,Yurihiko Tokitsu
24117,メイ・リデル・アーシェロット,May Riddell Archelot
24118,戻る,Retour
24119,はじめから間違えていたからだ、と思った。,Le fait que je faisais erreur depuis le début.
24120,最後まで生き残ったからだ、と思った。,Le fait que j'ai survécu jusqu'à la fin.
24121,そもそもこの、思った通りになる選択肢こそが証拠だと、わたしはようやく確信した。,J'avais enfin acquis la certitude que ces choix qui devenaient réalité étaient une preuve irréfutable.
24122,Tea Time^Little happening of last night,
24123,Tea Time^night's,
24124,Tea Time^Blues in her name,
24125,Tea Time^Night of the witches I,
24126,Tea Time^Night of the witches II,
24127,Tea Time^Like a dog.,
24128,Tea Time^Are you for real ?,
24129,Tea Time^ARE YOU FOR REAL !?,
24130,"Tea Time^SCARRED,SCAR RED.",
24131,Tea Time^HOWLING,
24132,Tea Time^WITCH ON THE HOLY NIGHT I,
24133,Tea Time^WITCH ON THE HOLY NIGHT II,
24134,Tea Time^A tale of the star,
